EmploymentTypeID,Type
1,Part-time
2,Full-time
3,""
4,Full-time
5,Contract
6,""
7,Part-time
8,Contract
9,""
10,""
11,""
12,Full-time
13,Full-time
14,Full-time
15,Contract
16,Contract
17,Full-time
18,Full-time
19,Full-time
20,Contract
21,Full-time
22,""
23,Full-time
24,""
25,Contract
26,Full-time
27,""
28,Contract
29,Contract
30,Part-time
31,Part-time
32,Part-time
33,Part-time
34,Part-time
35,Part-time
36,Part-time
37,Part-time
38,Contract
39,Contract
40,Contract
41,""
42,Part-time
43,""
44,""
45,Part-time
46,Part-time
47,""
48,""
49,Part-time
50,""
51,""
52,Full-time
53,""
54,Full-time
55,Contract
56,Full-time
57,""
58,Contract
59,Contract
60,Full-time
61,Contract
62,Part-time
63,""
64,Full-time
65,Part-time
66,Contract
67,Contract
68,Part-time
69,Part-time
70,Part-time
71,Part-time
72,Full-time
73,Part-time
74,Part-time
75,Contract
76,Part-time
77,Part-time
78,Full-time
79,""
80,""
81,Contract
82,Part-time
83,Full-time
84,Contract
85,Full-time
86,""
87,Part-time
88,Full-time
89,""
90,""
91,Full-time
92,Part-time
93,Part-time
94,Part-time
95,Part-time
96,Contract
97,""
98,Full-time
99,Part-time
100,Part-time
101,""
102,Contract
103,Part-time
104,Full-time
105,Part-time
106,Contract
107,""
108,""
109,Part-time
110,Full-time
111,""
112,Contract
113,Full-time
114,Full-time
115,Full-time
116,Part-time
117,""
118,Part-time
119,""
120,Full-time
121,Full-time
122,Full-time
123,""
124,Contract
125,Contract
126,Contract
127,""
128,Contract
129,Part-time
130,Full-time
131,Full-time
132,Part-time
133,Part-time
134,Part-time
135,Full-time
136,""
137,""
138,Full-time
139,Contract
140,Part-time
141,Contract
142,Contract
143,Contract
144,Part-time
145,Full-time
146,Part-time
147,Contract
148,Part-time
149,Contract
150,Part-time
151,Full-time
152,Full-time
153,Part-time
154,""
155,Part-time
156,Full-time
157,""
158,Part-time
159,Contract
160,Part-time
161,""
162,Contract
163,Full-time
164,Contract
165,Contract
166,Contract
167,""
168,Contract
169,Contract
170,Part-time
171,Full-time
172,Contract
173,""
174,Full-time
175,""
176,Part-time
177,Contract
178,Contract
179,Contract
180,Full-time
181,Contract
182,Full-time
183,Full-time
184,Part-time
185,Contract
186,Part-time
187,Part-time
188,Contract
189,Full-time
190,Contract
191,Full-time
192,Full-time
193,""
194,Full-time
195,""
196,""
197,Part-time
198,Part-time
199,Contract
200,Full-time
201,""
202,Part-time
203,Contract
204,Full-time
205,Contract
206,Full-time
207,""
208,Contract
209,Contract
210,""
211,Full-time
212,Part-time
213,Full-time
214,Full-time
215,Contract
216,Full-time
217,Full-time
218,""
219,""
220,""
221,Contract
222,""
223,Contract
224,Contract
225,Contract
226,Full-time
227,Part-time
228,Contract
229,Part-time
230,Full-time
231,Full-time
232,Contract
233,Part-time
234,Part-time
